X,Y,Z
1.0,1.0,1.0
1.053815830490446,1.4722314157533156,0.9757470634744577
1.2047300334837006,1.9860720821786433,0.9637128551255596
1.4444819066026648,2.5860677923946813,0.9697268071949157
1.7783054539482372,3.312352017670891,1.0034131924457292
2.2175262295470564,4.210004943963459,1.0808497242047466
2.7823074884833563,5.328200709878967,1.2262434679515417
3.5010070053424904,6.722112932326281,1.4782269246296076
4.40633097528713,8.452916590159644,1.9004981514998627
5.534322305571118,10.572708971573215,2.593853089457567
6.941559103275097,13.168994444478088,3.6853509831178513
8.670682916625289,16.25184670827564,5.377161514478733
10.741620693550825,19.724035621216053,7.959516253853306
13.146179418519864,23.376216319088844,11.791083869589492
15.801009653194244,26.712193883105723,17.191378837438762
18.50160367858361,28.893690557267714,24.265931500964065
20.86179123120483,28.93205174180011,32.55207790015713
22.37682964222261,25.99428930701382,40.90114189408682
22.551896296574355,20.267138433945124,47.582560346755045
21.19464631619687,12.782776822409096,51.38625088642484
18.46205501200267,5.346255910007672,52.034327563868445
14.834250956344945,-0.646845149775654,50.327424921961544
10.90635735100055,-4.688841422938257,47.49916889516361
7.161845573724942,-6.9935337241440205,44.49680344878934
3.8912850654914024,-8.04929754789896,41.81844973974582
1.2036379927534115,-8.364543632905919,39.612524378359744
-0.9066387742220261,-8.245254164595094,37.82390015632627
-2.4946700730042948,-7.90972437975797,36.3595999583436
-3.645659332318451,-7.4879303436707225,35.119551235364725
-4.445487867541248,-7.055931442586734,34.02706551142525
-4.976189461769815,-6.663132556250469,33.0295208959302
-5.315120373312201,-6.3358831740552795,32.0938581662074
-5.513083157815835,-6.082617022085643,31.20300373144035
-5.613621249195506,-5.908089371342491,30.348621442039956
-5.661216553451384,-5.814579384172074,29.527260097093095
-5.693024236967877,-5.799815738065272,28.74042752908186
-5.723068031099765,-5.8581484932282155,27.993796877008176
-5.765370067845563,-5.986017859173533,27.293526454231742
-5.833804326432533,-6.178775310585551,26.645214943891727
-5.939092585097996,-6.431814715549939,26.054963880989135
-6.084031236863176,-6.7436857064913,25.531684714706273
-6.2711214731709255,-7.112448822355116,25.08465186877574
-6.503471883135776,-7.534646932932102,24.723081511980258
-6.78452451814873,-8.005298434008626,24.456019614204813
-7.113654229277053,-8.519084040246103,24.293624011757345
-7.488354148778135,-9.070121238925296,24.250364104764607
-7.904877162427951,-9.64782238612846,24.33861610253399
-8.357645013921593,-10.236458780150045,24.56764072085436
-8.839248304873276,-10.815160661496714,24.94358318199603
-9.340244774328381,-11.359680617659286,25.468943683674436
-9.845055168850639,-11.842250464477603,26.140263017790417
-10.33277855846465,-12.224017713802017,26.946460808254518
-10.781498819629938,-12.471893207941505,27.86430988395977
-11.168448960497953,-12.55997353261074,28.85809255277824
-11.470011120912082,-12.469541016930084,29.879600601561048
-11.662754767070435,-12.186310937683311,30.870211481349806
-11.730239558836352,-11.718220923178604,31.771136524868947
-11.663585139880453,-11.11239171955699,32.52751424625368
-11.463689894414031,-10.412765204346288,33.09974706320851
-11.141526177110245,-9.657377621159505,33.46438052620399
-10.718140313104124,-8.878359579694857,33.614103318476694
-10.22070840133974,-8.110247302035836,33.558664770740116
-9.670721510099474,-7.4086832664307884,33.31790843701854
-9.098263582944622,-6.800176739450138,32.910589092244145
-8.530535853527905,-6.299943766540893,32.3639746172676
-7.9906454796466715,-5.914405130141827,31.714501882226358
-7.497605543242912,-5.641186349683512,31.007776746544657
-7.066104795220174,-5.469378124181054,30.27584712623583
-6.702989923615023,-5.388899212482147,29.526388471427367
-6.4112520006030405,-5.392124840505345,28.777295410042896
-6.192580787219637,-5.471124668381721,28.043965980222158
-6.047366090415572,-5.617660643259988,27.339276225092863
-5.974168546370315,-5.823597070691485,26.67375821366036
-5.965395234147102,-6.087642133093248,26.05815781128553
-6.0222872386448865,-6.40772605595095,25.50119980780218
-6.146543774902716,-6.780720380057176,25.0119537656547
-6.336908885676709,-7.204124467189818,24.60080545502538
-6.589171441440072,-7.676065500112106,24.2794568538344
-6.8961651403830935,-8.195298482572593,24.060926147739842
-7.249176227682808,-8.76012396944192,23.958568930750697
-7.65031841972314,-9.35902707725457,23.982322669614582
-8.098298839802377,-9.97819669376545,24.147890237192705
-8.586263954575374,-10.599608883015323,24.466806201155773
-9.103117232865777,-11.199816771674596,24.944630192605718
-9.633519145665993,-11.749950549043302,25.58094690607565
-10.15820188987057,-12.216027823930165,26.36940192668615
-10.658409585111867,-12.56352379800238,27.29323261732249
-11.106050906519412,-12.75302907996503,28.31590522998
-11.473205472263526,-12.755616358132494,29.391605294712157
