,index,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
8645,8646,2012-01-01,0,1,1,0,0,0,0,1,0.36,0.66,0.0,48
8646,8647,2012-01-01,0,1,1,1,0,0,0,1,0.36,0.66,0.1343,93
8647,8648,2012-01-01,0,1,1,2,0,0,0,1,0.32,0.76,0.0,75
8648,8649,2012-01-01,0,1,1,3,0,0,0,1,0.3,0.81,0.0,52
8649,8650,2012-01-01,0,1,1,4,0,0,0,1,0.28,0.81,0.0896,8
8650,8651,2012-01-01,0,1,1,5,0,0,0,1,0.28,0.81,0.1045,5
8651,8652,2012-01-01,0,1,1,6,0,0,0,1,0.26,0.93,0.1343,2
8652,8653,2012-01-01,0,1,1,7,0,0,0,1,0.26,0.93,0.1642,7
8653,8654,2012-01-01,0,1,1,8,0,0,0,1,0.26,0.87,0.1045,14
8654,8655,2012-01-01,0,1,1,9,0,0,0,1,0.26,0.93,0.1045,40
8655,8656,2012-01-01,0,1,1,10,0,0,0,1,0.3,0.81,0.1045,70
8656,8657,2012-01-01,0,1,1,11,0,0,0,1,0.34,0.76,0.1343,138
8657,8658,2012-01-01,0,1,1,12,0,0,0,1,0.4,0.62,0.2836,201
8658,8659,2012-01-01,0,1,1,13,0,0,0,1,0.42,0.58,0.2836,223
8659,8660,2012-01-01,0,1,1,14,0,0,0,1,0.44,0.54,0.2985,267
8660,8661,2012-01-01,0,1,1,15,0,0,0,1,0.46,0.51,0.2985,265
8661,8662,2012-01-01,0,1,1,16,0,0,0,2,0.44,0.54,0.2985,215
8662,8663,2012-01-01,0,1,1,17,0,0,0,2,0.48,0.48,0.1642,111
8663,8664,2012-01-01,0,1,1,18,0,0,0,3,0.46,0.59,0.2537,106
8664,8665,2012-01-01,0,1,1,19,0,0,0,3,0.42,0.67,0.3881,105
8665,8666,2012-01-01,0,1,1,20,0,0,0,2,0.44,0.62,0.2985,83
8666,8667,2012-01-01,0,1,1,21,0,0,0,2,0.44,0.67,0.2537,71
8667,8668,2012-01-01,0,1,1,22,0,0,0,1,0.46,0.55,0.4179,66
8668,8669,2012-01-01,0,1,1,23,0,0,0,1,0.44,0.51,0.2985,29
8669,8670,2012-01-02,0,1,1,0,1,1,0,1,0.4,0.4,0.4627,39
8670,8671,2012-01-02,0,1,1,1,1,1,0,1,0.36,0.43,0.4179,12
